acronym,rank
ISORC,C
NOMS,B
ETFA,TBR
RTSS,A*
IGARSS,C
DEXA (1),C
ISMIS,C
ADBIS (Short Papers),C
RCIS,B
ISGT,none
ISGT Asia,none
ICSC,none
ISGT EUROPE,none
DATE,B
MEDI,C
WISE (4),B
ICTAI,B
MMSP,C
WISE,B
DATA,C
TrustCom,B
DEXA (2),C
LFA,none
Wireless Mesh Networks for IoT and Smart Cities,B
FQAS,C
IEA/AIE (2),C
ECSQARU,C
ADT,C
UAI,A
DroneSE/RAPIDO@HiPEAC,none
ECRTS,B
EuCNC/6G Summit,none
ICC Workshops,C
ICC,C
MILCOM,none
PLANS,none
DySPAN,none
MobiCom,A*
VTC Fall,B
ACSSC,National: USA
ICASSP,B
WiOpt,B
WCNC,B
GLOBECOM,B
VTC Spring,B
ACIVS,B
DaWaK,B
SSDBM,B
ACLING,none
BiDEDE@SIGMOD,none
ICT-DM,none
OM@ISWC,none
WISE (2),B
WISE (1),B
IEEE Big Data,B
ICDE,A*
CIKM,A
SADASC,none
IEEE BigData,B
EDOC Workshops,B
IDEAS,C
