nom,prenom,equipe,pid_dblp,statut,theses_id
ADAM,Loïc,IDD,274/2688,Maître de Conférences,280433751
BARON,Mickael,IDD,08/4942,Ingénieur de Recherche,077275292
BELLATRECHE,Ladjel,IDD,b/LadjelBellatreche,Professeur des Universités,112281834
BENKABOU,Seif eddine,IDD,198/8701,Maître de Conférences,228949602
CHARDIN,Brice,IDD,41/9458,Maître de Conférences,161536174
FOUSSE,Allan,IDD,44/11346,Maître de Conférences,2000POIT2261
GIRARD,Patrick,IDD,48/6113-2,Professeur des Universités,073640107
HADJALI,Allel,IDD,24/2709,Professeur des Universités,069994811
JEAN,Stéphane,IDD,j/StephaneJean,Professeur des Universités,122008022
MARCHEIX,David,IDD,47/6779,Maître de Conférences,070711658
MESMOUDI,Amin,IDD,66/10119,Maître de Conférences,191781576
BAUER,Henri,SETR,44/8188,Maître de Conférences,15724444X
BERTOUT,Antoine,SETR,148/4427,Maître de Conférences,190909838
CHOQUET-GENIET,Annie,SETR,65/6891,Professeur des Universités,02991390X
GENIET,Dominique,SETR,,Maître de Conférences,082988145
GROLLEAU,Emmanuel,SETR,48/4475,Professeur des Universités,086811843
RICHARD,Michael,SETR,268/4082,Maître de Conférences,073338923
RICHARD,Pascal,SETR,22/2035,Professeur des Universités,07333930X
RIDOUARD,Frédéric,SETR,05/2077,Maître de Conférences,113037937
